T2M - MERRA-2 Temperature at 2 Meters (°C): The air temperature at a height of 2 meters above the ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QV2M - MERRA-2 Specific Humidity at 2 Meters (g/kg): The amount of water vapor present in 1 kilogram of air at 2 meters above ground level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GWETTOP - MERRA-2 Surface Soil Wetness (unitless): The wetness of the topsoil layer, indicating the fraction of soil saturated with water. It ranges from 0 (completely dry) to 1 (fully saturated)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-BEGIN HEADER-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2010 through 12/31/2022 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location: Latitude  45.638   Longitude 25.6489 - langa Galati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1048.26 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,T2M - (°C):,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,QV2M - Humidity (g/kg),,,,,,,,,,,,,,,
T2M         MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,GWETTOP (0-1) surface soil wetness,,,,,,,,,,,,,,,
QV2M        MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWETTOP     MERRA-2 Surface Soil Wetness (1) ,,,,,,,,,,,,,,,,,,,Medie pe 13 ani pentru fiecare proprietate,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,,,,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,-4.76,-0.67,4.45,11.1,17.84,22.15,24.86,27.07,18.8,9.04,10.51,-0.97,11.68,,,,T2M,-1.867692308,0.723076923,5.397692308,11.54230769,18.03538462,22.90384615,25.41307692,25.45461538,19.67615385,12.02,6.606923077,0.845384615,12.28307692
T2M,2011,-2.74,-2.28,3.71,9.73,17.4,22.17,25.51,23.91,21.19,10.39,2.72,1.92,11.22,,,Galati,QV2M,3.052307692,3.54,4.267692308,5.834615385,7.951538462,10.00538462,10.26307692,9.456153846,7.685384615,6.113076923,5.099230769,3.643076923,6.418461538
T2M,2012,-3,-7.03,4.94,13.55,19.53,24.6,28.24,25.34,20.15,14.32,6.86,-2.21,12.16,,,,GWETTOP,0.582307692,0.626153846,0.617692308,0.566923077,0.466153846,0.426923077,0.377692308,0.33,0.325384615,0.401538462,0.437692308,0.525384615,0.472307692
T2M,2013,-2.24,1.72,3.57,12.2,19.85,23.1,23.8,24.68,16.8,11.24,8.45,-0.31,11.95,,,,,,,,,,,,,,,,,
T2M,2014,-0.95,0.8,8.12,11.98,17.94,20.93,24.87,25.2,19.15,11.44,4.8,-0.42,12.05,,,,T2M,-0.007692308,2.676923077,5.913076923,11.16923077,17.37538462,22.28,24.86230769,25.15461538,20.1,13.22,8.317692308,2.644615385,12.85615385
T2M,2015,-0.88,0.76,5,10.15,18.15,22.67,26.16,25.87,20.99,11.19,7.4,1.93,12.51,,,Constanta,QV2M,3.586923077,4.127692308,4.615384615,6.008461538,8.154615385,10.15461538,10.67538462,10.24384615,8.47,6.874615385,5.817692308,4.215384615,6.925384615
T2M,2016,-2.99,4.9,6.55,13.76,16.48,23.01,25.66,24.97,20.13,9.51,4.17,-1.24,12.08,,,,GWETTOP,0.62,0.665384615,0.653076923,0.590769231,0.489230769,0.430769231,0.381538462,0.33,0.322307692,0.403076923,0.447692308,0.542307692,0.488461538
T2M,2017,-5.88,0.12,7.39,9.25,16.84,22.65,24.17,24.99,20.16,12.07,6.59,2.28,11.78,,,,,,,,,,,,,,,,,
T2M,2018,-0.46,-0.08,2.61,14.54,19.9,23.5,24.45,26.07,19.86,13.89,4.04,-1.13,12.33,,,,T2M,-5.505384615,-3.568461538,-0.077692308,5.809230769,11.07615385,15.42384615,17.55769231,17.98,12.91538462,6.782307692,2.561538462,-2.967692308,6.545384615
T2M,2019,-1.81,2.3,7.94,11.15,18.52,25.26,24.85,25.69,20.05,13.25,9.8,3.63,13.44,,,Brasov,QV2M,2.76,3.103076923,3.671538462,5.085384615,7.065384615,9.23,9.550769231,8.963076923,7.004615385,5.338461538,4.475384615,3.216153846,5.798461538
T2M,2020,0.39,4.08,8.51,11.7,16.54,22.8,25.49,25.53,21.38,15.4,5.31,3.3,13.4,,,,GWETTOP,0.593076923,0.628461538,0.647692308,0.639230769,0.614615385,0.597692308,0.517692308,0.425384615,0.400769231,0.459230769,0.488461538,0.556153846,0.544615385
T2M,2021,0.62,1.41,3.83,8.87,16.76,20.83,25.8,25.11,17.94,10.62,7.3,1.66,11.8,,,,,,,,,,,,,,,,,
T2M,2022,0.42,3.37,3.55,12.07,18.71,24.08,26.51,26.48,19.19,13.9,7.94,2.55,13.28,,,,,,,,,,,,,,,,,
,,-1.867692308,0.723076923,5.397692308,11.54230769,18.03538462,22.90384615,25.41307692,25.45461538,19.67615385,12.02,6.606923077,0.845384615,12.28307692,,,,`,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2010,2.75,3.54,4.33,5.92,8.79,10.5,12.45,10.93,8.06,5.31,6.65,3.36,6.9,,,Galati,T2M,-1.867692308,0.723076923,5.397692308,11.54230769,18.03538462,22.90384615,25.41307692,25.45461538,19.67615385,12.02,6.606923077,0.845384615,12.28307692
QV2M,2011,3.05,2.75,4.03,5.43,7.87,9.03,10.07,8.42,7.63,4.82,3.48,3.78,5.86,,,Constanta,T2M,-0.007692308,2.676923077,5.913076923,11.16923077,17.37538462,22.28,24.86230769,25.15461538,20.1,13.22,8.317692308,2.644615385,12.85615385
QV2M,2012,2.69,2.14,3.85,6.41,8.42,9.77,10.13,8.73,7.93,7.02,5.07,2.99,6.29,,,Brasov,T2M,-5.505384615,-3.568461538,-0.077692308,5.809230769,11.07615385,15.42384615,17.55769231,17.98,12.91538462,6.782307692,2.561538462,-2.967692308,6.545384615
QV2M,2013,3.11,3.85,4.15,6.65,8.48,10.5,10.01,9.16,7.02,6.53,5.92,3.11,6.53,,,,,,,,,,,,,,,,,
QV2M,2014,3.3,3.72,4.88,6.04,8.06,9.28,10.38,9.46,7.08,5.68,4.64,3.48,6.35,,,Galati,QV2M,3.052307692,3.54,4.267692308,5.834615385,7.951538462,10.00538462,10.26307692,9.456153846,7.685384615,6.113076923,5.099230769,3.643076923,6.418461538
QV2M,2015,3.48,3.54,4.39,5.55,7.81,8.3,9.7,8.73,8.67,5.86,5.07,3.91,6.29,,,Constanta,QV2M,3.586923077,4.127692308,4.615384615,6.008461538,8.154615385,10.15461538,10.67538462,10.24384615,8.47,6.874615385,5.817692308,4.215384615,6.925384615
QV2M,2016,2.87,4.88,4.76,7.2,8.18,11.23,9.64,9.52,7.69,5.98,4.58,2.93,6.59,,,Brasov,QV2M,2.76,3.103076923,3.671538462,5.085384615,7.065384615,9.23,9.550769231,8.963076923,7.004615385,5.338461538,4.475384615,3.216153846,5.798461538
QV2M,2017,2.2,3.48,5.13,5.49,7.93,10.19,10.19,9.4,8.18,5.98,5.13,4.09,6.47,,,,,,,,,,,,,,,,,
QV2M,2018,3.36,3.36,4.21,7.2,8.24,10.01,11.6,9.52,7.87,6.1,4.39,3.05,6.59,,,Galati,GWETTOP,0.582307692,0.626153846,0.617692308,0.566923077,0.466153846,0.426923077,0.377692308,0.33,0.325384615,0.401538462,0.437692308,0.525384615,0.472307692
QV2M,2019,2.99,3.6,4.27,5.19,8.3,10.93,9.28,9.09,7.02,6.9,6.41,4.27,6.53,,,Constanta,GWETTOP,0.62,0.665384615,0.653076923,0.590769231,0.489230769,0.430769231,0.381538462,0.33,0.322307692,0.403076923,0.447692308,0.542307692,0.488461538
QV2M,2020,3.05,3.78,4.52,4.09,6.71,9.95,9.52,8.85,8.06,8.12,4.39,4.52,6.29,,,Brasov,GWETTOP,0.593076923,0.628461538,0.647692308,0.639230769,0.614615385,0.597692308,0.517692308,0.425384615,0.400769231,0.459230769,0.488461538,0.556153846,0.544615385
QV2M,2021,3.72,3.78,3.91,5.25,7.93,11.35,11.72,10.19,6.77,5.07,5.13,3.78,6.59,,,,,,,,,,,,,,,,,
QV2M,2022,3.11,3.6,3.05,5.43,6.65,9.03,8.73,10.93,7.93,6.1,5.43,4.09,6.16,,,,,,,,,,,,,,,,,
,,3.052307692,3.54,4.267692308,5.834615385,7.951538462,10.00538462,10.26307692,9.456153846,7.685384615,6.113076923,5.099230769,3.643076923,6.418461538,,,,,,,,,,,,,,,,,
GWETTOP,2010,0.66,0.72,0.73,0.66,0.51,0.46,0.46,0.34,0.36,0.45,0.48,0.61,0.54,,,,,,,,,,,,,,,,,
GWETTOP,2011,0.66,0.7,0.68,0.62,0.5,0.41,0.36,0.32,0.26,0.32,0.35,0.38,0.46,,,,,,,,,,,,,,,,,
GWETTOP,2012,0.45,0.55,0.55,0.49,0.42,0.4,0.34,0.32,0.34,0.36,0.4,0.57,0.43,,,,,,,,,,,,,,,,,
GWETTOP,2013,0.65,0.73,0.71,0.66,0.45,0.41,0.41,0.33,0.37,0.48,0.47,0.48,0.51,,,,,,,,,,,,,,,,,
GWETTOP,2014,0.48,0.55,0.57,0.51,0.48,0.44,0.38,0.34,0.34,0.36,0.43,0.58,0.45,,,,,,,,,,,,,,,,,
GWETTOP,2015,0.66,0.7,0.7,0.68,0.5,0.39,0.34,0.3,0.33,0.44,0.48,0.65,0.52,,,,,,,,,,,,,,,,,
GWETTOP,2016,0.66,0.69,0.67,0.61,0.53,0.48,0.35,0.34,0.35,0.59,0.69,0.68,0.55,,,,,,,,,,,,,,,,,
GWETTOP,2017,0.68,0.7,0.69,0.65,0.54,0.45,0.42,0.37,0.34,0.42,0.46,0.59,0.52,,,,,,,,,,,,,,,,,
GWETTOP,2018,0.62,0.67,0.71,0.62,0.44,0.39,0.42,0.35,0.33,0.31,0.36,0.41,0.47,,,,,,,,,,,,,,,,,
GWETTOP,2019,0.47,0.51,0.47,0.45,0.42,0.41,0.35,0.31,0.23,0.4,0.41,0.42,0.4,,,,,,,,,,,,,,,,,
GWETTOP,2020,0.43,0.46,0.44,0.38,0.39,0.4,0.36,0.28,0.29,0.39,0.41,0.56,0.4,,,,,,,,,,,,,,,,,
GWETTOP,2021,0.66,0.68,0.66,0.62,0.5,0.56,0.45,0.35,0.33,0.35,0.37,0.46,0.5,,,,,,,,,,,,,,,,,
GWETTOP,2022,0.49,0.48,0.45,0.42,0.38,0.35,0.27,0.34,0.36,0.35,0.38,0.44,0.39,,,,,,,,,,,,,,,,,
,,0.582307692,0.626153846,0.617692308,0.566923077,0.466153846,0.426923077,0.377692308,0.33,0.325384615,0.401538462,0.437692308,0.525384615,0.472307692,,,,,,,,,,,,,,,,,
-BEGIN HEADER-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2010 through 12/31/2022 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location: Latitude  44.2272   Longitude 28.161 - Langa Constanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.54 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2M         MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QV2M        MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWETTOP     MERRA-2 Surface Soil Wetness (1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,,,
T2M,2010,-2.43,1.96,5.11,10.62,16.75,21.76,24.26,26.86,19.68,10.56,12.35,2.33,12.53,,-0.007692308,2.676923077,5.913076923,11.16923077,17.37538462,22.28,24.86230769,25.15461538,20.1,13.22,8.317692308,2.644615385,12.85615385,,,
T2M,2011,0.12,-0.51,4.69,8.92,16.52,21.86,25.07,23.68,21.26,11.26,3.55,3.14,11.7,,3.586923077,4.127692308,4.615384615,6.008461538,8.154615385,10.15461538,10.67538462,10.24384615,8.47,6.874615385,5.817692308,4.215384615,6.925384615,,,
T2M,2012,-1.49,-2.55,5.14,12.83,18.45,23.73,27.33,25.37,20.43,16.34,9.09,0.07,12.94,,0.62,0.665384615,0.653076923,0.590769231,0.489230769,0.430769231,0.381538462,0.33,0.322307692,0.403076923,0.447692308,0.542307692,0.488461538,,,
T2M,2013,0.67,3.58,5.44,12.33,19.88,22.86,24.19,24.8,18.34,11.8,9.29,0.75,12.87,,,,,,,,,,,,,,,,,
T2M,2014,2.18,4.41,8.51,12,17.54,20.38,23.82,24.89,19.3,12.69,6.17,2.78,12.94,,,,,,,,,,,,,,,,,
T2M,2015,0.54,1.5,5.15,9.94,16.98,21.37,25.25,25.14,20.97,12.61,9.35,2.63,12.68,,,,,,,,,,,,,,,,,
T2M,2016,-1.92,6.57,7.09,13.69,16.01,22.56,25.16,24.87,20.01,11.41,6.54,-0.77,12.6,,,,,,,,,,,,,,,,,
T2M,2017,-4.41,2.53,7.59,9.51,16.29,22.73,23.79,24.51,20.62,13.16,8.19,4.37,12.46,,,,,,,,,,,,,,,,,
T2M,2018,1.44,2.05,4.54,13.46,18.43,22.67,23.98,25.15,20.18,14.54,6.12,0.52,12.81,,,,,,,,,,,,,,,,,
T2M,2019,0.81,3.23,8.03,10.36,17.9,24.84,24.78,25.21,20.43,14.48,12.24,5.08,14.01,,,,,,,,,,,,,,,,,
T2M,2020,1.15,4.75,8.61,11.18,16.86,21.94,24.75,24.98,21.27,16.4,6.44,5.3,13.67,,,,,,,,,,,,,,,,,
T2M,2021,1.98,3.45,4.15,8.96,16.68,20.15,24.96,25.22,18.78,11.8,8.73,3.3,12.4,,,,,,,,,,,,,,,,,
T2M,2022,1.26,3.83,2.82,11.4,17.59,22.79,25.87,26.33,20.03,14.81,10.07,4.88,13.52,,,,,,,,,,,,,,,,,
,,-0.007692308,2.676923077,5.913076923,11.16923077,17.37538462,22.28,24.86230769,25.15461538,20.1,13.22,8.317692308,2.644615385,12.85615385,,,,,,,,,,,,,,,,,
QV2M,2010,3.42,4.27,4.7,6.16,8.79,10.25,12.57,11.84,8.54,6.1,7.2,4.33,7.39,,,,,,,,,,,,,,,,,
QV2M,2011,3.66,3.11,4.27,5.37,7.81,8.85,10.31,9.09,8.42,5.62,3.97,4.27,6.23,,,,,,,,,,,,,,,,,
QV2M,2012,3.17,2.87,4.21,6.65,8.54,10.25,10.74,9.16,8.67,8.06,5.86,3.54,6.84,,,,,,,,,,,,,,,,,
QV2M,2013,3.78,4.46,4.7,6.41,8.48,9.89,9.89,9.89,7.39,6.96,6.35,3.42,6.84,,,,,,,,,,,,,,,,,
QV2M,2014,4.15,4.58,5.07,6.41,8.06,10.44,11.35,10.8,8.61,6.84,5.43,4.39,7.2,,,,,,,,,,,,,,,,,
QV2M,2015,3.91,3.97,4.7,5.86,8.97,9.28,10.38,10.19,9.89,6.84,5.92,4.15,7.02,,,,,,,,,,,,,,,,,
QV2M,2016,3.36,5.55,5.31,7.45,8.42,11.17,9.89,10.13,8.24,6.47,5.31,2.99,7.02,,,,,,,,,,,,,,,,,
QV2M,2017,2.5,3.97,5.25,5.43,7.57,10.13,10.31,10.01,9.03,6.35,5.86,4.88,6.77,,,,,,,,,,,,,,,,,
QV2M,2018,3.85,4.03,4.88,7.2,8.79,10.13,12.39,10.31,8.3,7.14,5.13,3.54,7.14,,,,,,,,,,,,,,,,,
QV2M,2019,3.72,3.97,4.52,5.43,8.3,10.68,9.58,9.77,8.06,7.63,7.51,4.64,7.02,,,,,,,,,,,,,,,,,
QV2M,2020,3.3,4.15,4.82,4.33,6.9,10.07,9.95,9.95,9.09,8.48,4.76,5.31,6.77,,,,,,,,,,,,,,,,,
QV2M,2021,4.21,4.52,4.15,5.55,8.24,11.35,12.08,10.68,7.45,6.35,6.04,4.58,7.08,,,,,,,,,,,,,,,,,
QV2M,2022,3.6,4.21,3.42,5.86,7.14,9.52,9.34,11.35,8.42,6.53,6.29,4.76,6.71,,,,,,,,,,,,,,,,,
,,3.586923077,4.127692308,4.615384615,6.008461538,8.154615385,10.15461538,10.67538462,10.24384615,8.47,6.874615385,5.817692308,4.215384615,6.925384615,,,,,,,,,,,,,,,,,
GWETTOP,2010,0.7,0.78,0.79,0.73,0.57,0.43,0.48,0.35,0.34,0.42,0.44,0.54,0.55,,,,,,,,,,,,,,,,,
GWETTOP,2011,0.62,0.63,0.6,0.57,0.48,0.38,0.36,0.34,0.24,0.41,0.48,0.51,0.47,,,,,,,,,,,,,,,,,
GWETTOP,2012,0.64,0.71,0.67,0.57,0.47,0.42,0.32,0.29,0.27,0.32,0.39,0.56,0.47,,,,,,,,,,,,,,,,,
GWETTOP,2013,0.63,0.66,0.63,0.57,0.41,0.38,0.38,0.34,0.35,0.5,0.47,0.48,0.48,,,,,,,,,,,,,,,,,
GWETTOP,2014,0.5,0.57,0.56,0.48,0.45,0.52,0.42,0.37,0.37,0.43,0.52,0.68,0.48,,,,,,,,,,,,,,,,,
GWETTOP,2015,0.72,0.8,0.8,0.78,0.64,0.43,0.35,0.34,0.35,0.45,0.49,0.62,0.56,,,,,,,,,,,,,,,,,
GWETTOP,2016,0.68,0.73,0.71,0.62,0.59,0.46,0.34,0.32,0.34,0.44,0.52,0.52,0.52,,,,,,,,,,,,,,,,,
GWETTOP,2017,0.57,0.62,0.62,0.56,0.47,0.41,0.41,0.36,0.34,0.41,0.49,0.62,0.49,,,,,,,,,,,,,,,,,
GWETTOP,2018,0.66,0.71,0.77,0.69,0.5,0.41,0.45,0.36,0.32,0.34,0.38,0.48,0.51,,,,,,,,,,,,,,,,,
GWETTOP,2019,0.55,0.57,0.51,0.47,0.42,0.38,0.34,0.3,0.26,0.38,0.4,0.43,0.41,,,,,,,,,,,,,,,,,
GWETTOP,2020,0.44,0.49,0.47,0.4,0.39,0.41,0.36,0.28,0.33,0.37,0.39,0.57,0.41,,,,,,,,,,,,,,,,,
GWETTOP,2021,0.69,0.74,0.73,0.7,0.54,0.59,0.45,0.34,0.32,0.42,0.47,0.62,0.55,,,,,,,,,,,,,,,,,
GWETTOP,2022,0.66,0.64,0.63,0.54,0.43,0.38,0.3,0.3,0.36,0.35,0.38,0.42,0.45,,,,,,,,,,,,,,,,,
,,0.62,0.665384615,0.653076923,0.590769231,0.489230769,0.430769231,0.381538462,0.33,0.322307692,0.403076923,0.447692308,0.542307692,0.488461538,,,,,,,,,,,,,,,,,
-BEGIN HEADER-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2010 through 12/31/2022 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location: Latitude  45.638   Longitude 25.6489 - Brasov ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1048.26 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2M         MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QV2M        MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWETTOP     MERRA-2 Surface Soil Wetness (1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,,,
T2M,2010,-6.95,-4.73,-1.47,5.4,11.2,15.19,16.93,18.25,11.23,3.36,5.15,-4.69,5.79,,-5.505384615,-3.568461538,-0.077692308,5.809230769,11.07615385,15.42384615,17.55769231,17.98,12.91538462,6.782307692,2.561538462,-2.967692308,6.545384615,,,
T2M,2011,-4.88,-6.26,-1.1,4.24,10.44,14.55,16.95,16.89,15.12,4.81,-0.74,-2.32,5.71,,2.76,3.103076923,3.671538462,5.085384615,7.065384615,9.23,9.550769231,8.963076923,7.004615385,5.338461538,4.475384615,3.216153846,5.798461538,,,
T2M,2012,-7.89,-10.56,-2.24,6.8,11.8,16.8,20.74,18.44,14.76,8.91,3.24,-6.34,6.25,,0.593076923,0.628461538,0.647692308,0.639230769,0.614615385,0.597692308,0.517692308,0.425384615,0.400769231,0.459230769,0.488461538,0.556153846,0.544615385,,,
T2M,2013,-6.2,-4.18,-2.45,6.8,12.3,15.15,16.37,17.69,9.65,7.47,3.64,-3.32,6.13,,,,,,,,,,,,,,,,,
T2M,2014,-2.52,-0.96,3.1,5.61,10.52,13.3,16.39,16.69,12.06,7.2,1.67,-3.24,6.69,,,,,,,,,,,,,,,,,
T2M,2015,-3.35,-4.2,0.22,4.18,11.88,14.9,18.78,18.46,14.87,5.47,3.69,-1.06,7.05,,,,,,,,,,,,,,,,,
T2M,2016,-6.01,0.96,1.33,8.7,9.71,16.15,17.63,16.94,13.44,4.1,0.03,-6.09,6.4,,,,,,,,,,,,,,,,,
T2M,2017,-10.23,-3.06,3.04,4.58,10.86,15.92,17.16,18.84,12.65,6.32,1.66,-2.6,6.31,,,,,,,,,,,,,,,,,
T2M,2018,-3.7,-5.38,-1.2,9.76,13.27,15.84,16.2,18.38,12.9,8.32,1.61,-4.17,6.89,,,,,,,,,,,,,,,,,
T2M,2019,-6.45,-3.02,2.44,5.47,10.64,16.94,16.58,18.75,13.38,10.09,4.95,-0.75,7.48,,,,,,,,,,,,,,,,,
T2M,2020,-3.96,-1.01,2.02,5.79,9.67,14.71,16.8,17.76,14.87,8.68,1.34,-1.56,7.12,,,,,,,,,,,,,,,,,
