-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2022 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP     MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,1984,41.5,60.625,0.34,0.3,0.38,0.31,0.29,0.12,0.08,0.07,0.07,0.18,0.3,0.3,0.23
GWETTOP,1984,41.5,61.25,0.15,0.13,0.2,0.15,0.16,0.08,0.05,0.05,0.05,0.12,0.15,0.14,0.12
GWETTOP,1984,41.5,61.875,0.18,0.16,0.22,0.19,0.17,0.09,0.06,0.05,0.05,0.14,0.18,0.17,0.14
GWETTOP,1984,42.0,60.625,0.36,0.3,0.4,0.3,0.3,0.13,0.09,0.08,0.07,0.13,0.29,0.32,0.23
GWETTOP,1984,42.0,61.25,0.12,0.11,0.18,0.13,0.14,0.08,0.06,0.05,0.05,0.09,0.12,0.11,0.1
GWETTOP,1984,42.0,61.875,0.11,0.1,0.17,0.12,0.13,0.07,0.06,0.05,0.05,0.1,0.12,0.11,0.1
GWETTOP,1984,42.5,60.625,0.23,0.2,0.26,0.2,0.19,0.1,0.07,0.06,0.06,0.1,0.19,0.21,0.16
GWETTOP,1984,42.5,61.25,0.12,0.11,0.17,0.12,0.13,0.07,0.06,0.05,0.05,0.09,0.13,0.12,0.1
GWETTOP,1984,42.5,61.875,0.14,0.12,0.18,0.13,0.13,0.08,0.06,0.05,0.05,0.09,0.13,0.13,0.11
GWETTOP,1984,43.0,60.625,0.42,0.35,0.39,0.26,0.23,0.13,0.1,0.09,0.09,0.12,0.32,0.37,0.24
GWETTOP,1984,43.0,61.25,0.3,0.26,0.3,0.19,0.18,0.11,0.08,0.08,0.08,0.12,0.25,0.28,0.19
GWETTOP,1984,43.0,61.875,0.13,0.11,0.15,0.1,0.1,0.07,0.06,0.05,0.06,0.1,0.12,0.11,0.1
GWETTOP,1984,43.5,60.625,0.27,0.24,0.24,0.16,0.14,0.1,0.07,0.07,0.07,0.11,0.23,0.25,0.16
GWETTOP,1984,43.5,61.25,0.47,0.4,0.41,0.27,0.24,0.14,0.11,0.1,0.1,0.16,0.38,0.43,0.27
GWETTOP,1984,43.5,61.875,0.15,0.13,0.16,0.11,0.1,0.07,0.05,0.06,0.06,0.1,0.14,0.12,0.1
GWETTOP,1984,44.0,60.625,0.5,0.47,0.46,0.3,0.26,0.18,0.15,0.13,0.14,0.22,0.44,0.49,0.31
GWETTOP,1984,44.0,61.25,0.26,0.23,0.24,0.16,0.14,0.09,0.07,0.06,0.07,0.13,0.24,0.24,0.16
GWETTOP,1984,44.0,61.875,0.14,0.12,0.15,0.1,0.1,0.07,0.05,0.05,0.06,0.1,0.14,0.11,0.1
GWETTOP,1984,44.5,60.625,0.47,0.45,0.46,0.41,0.4,0.37,0.35,0.34,0.35,0.39,0.46,0.46,0.41
GWETTOP,1984,44.5,61.25,0.58,0.53,0.5,0.35,0.32,0.2,0.16,0.14,0.15,0.26,0.52,0.58,0.36
GWETTOP,1984,44.5,61.875,0.46,0.42,0.43,0.28,0.24,0.14,0.1,0.09,0.09,0.18,0.41,0.44,0.27
GWETTOP,1984,45.0,60.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GWETTOP,1984,45.0,61.25,0.52,0.49,0.52,0.43,0.4,0.29,0.26,0.25,0.25,0.33,0.51,0.5,0.4
GWETTOP,1984,45.0,61.875,0.57,0.56,0.57,0.39,0.34,0.19,0.13,0.11,0.11,0.2,0.5,0.57,0.35
GWETTOP,1984,45.5,60.625,0.56,0.56,0.57,0.54,0.48,0.35,0.31,0.3,0.32,0.4,0.55,0.56,0.46
GWETTOP,1984,45.5,61.25,0.49,0.49,0.5,0.44,0.35,0.18,0.12,0.1,0.11,0.21,0.45,0.49,0.33
GWETTOP,1984,45.5,61.875,0.49,0.49,0.5,0.41,0.32,0.18,0.12,0.1,0.1,0.18,0.45,0.49,0.32
GWETTOP,1984,46.0,60.625,0.41,0.41,0.43,0.4,0.34,0.17,0.1,0.08,0.12,0.21,0.38,0.41,0.29
GWETTOP,1984,46.0,61.25,0.51,0.5,0.52,0.46,0.36,0.21,0.14,0.12,0.13,0.21,0.44,0.51,0.34
GWETTOP,1984,46.0,61.875,0.54,0.54,0.55,0.47,0.36,0.22,0.15,0.14,0.13,0.21,0.47,0.54,0.36
GWETTOP,1984,46.5,60.625,0.39,0.39,0.42,0.39,0.32,0.18,0.11,0.1,0.14,0.21,0.35,0.39,0.28
GWETTOP,1984,46.5,61.25,0.44,0.44,0.46,0.42,0.34,0.22,0.15,0.14,0.15,0.25,0.4,0.44,0.32
GWETTOP,1984,46.5,61.875,0.5,0.5,0.52,0.46,0.35,0.23,0.17,0.16,0.17,0.27,0.45,0.5,0.36
GWETTOP,1984,47.0,60.625,0.4,0.4,0.41,0.39,0.27,0.16,0.1,0.11,0.15,0.21,0.33,0.39,0.28
GWETTOP,1984,47.0,61.25,0.41,0.41,0.43,0.41,0.32,0.19,0.12,0.11,0.13,0.24,0.36,0.41,0.29
GWETTOP,1984,47.0,61.875,0.31,0.31,0.34,0.31,0.24,0.16,0.11,0.1,0.11,0.18,0.27,0.3,0.23
GWETTOP,1984,47.5,60.625,0.43,0.43,0.44,0.43,0.28,0.19,0.12,0.13,0.17,0.26,0.35,0.43,0.3
GWETTOP,1984,47.5,61.25,0.43,0.43,0.44,0.42,0.28,0.19,0.12,0.12,0.16,0.26,0.35,0.43,0.3
GWETTOP,1984,47.5,61.875,0.36,0.36,0.38,0.35,0.27,0.17,0.1,0.1,0.14,0.23,0.32,0.35,0.26
GWETTOP,1984,48.0,60.625,0.39,0.39,0.4,0.38,0.26,0.22,0.12,0.16,0.22,0.29,0.34,0.38,0.3
GWETTOP,1984,48.0,61.25,0.4,0.4,0.41,0.39,0.25,0.22,0.11,0.15,0.22,0.28,0.34,0.4,0.3
GWETTOP,1984,48.0,61.875,0.38,0.38,0.39,0.37,0.26,0.19,0.1,0.12,0.19,0.26,0.34,0.37,0.28
GWETTOP,1984,48.5,60.625,0.36,0.36,0.38,0.34,0.25,0.24,0.15,0.2,0.24,0.29,0.34,0.35,0.29
GWETTOP,1984,48.5,61.25,0.38,0.38,0.4,0.37,0.25,0.25,0.13,0.17,0.25,0.29,0.35,0.38,0.3
