AREA,PERIMETER,SONEASTS_,SONEASTS_I,ISO,SOVEUR_ID,SOVID_NEW,ISOC,SUID,NEWSUID,MISCUNITS,longitude,latitude
0.337429,5.349835,2,1,RU,RU1049,RU4815,RU,4815.0,RU4815,Land,59.84187210328626,69.86622339256738
0.019757,0.980788,3,2,RU,RU0511,RU0511,RU,511.0,RU511,Land,32.06459543815991,69.90394733781277
0.015336,1.215965,4,3,RU,,RU0531,RU,531.0,RU531,Land,32.06696987723412,69.7919185567528
0.077526,2.382931,5,4,RU,RU0534,RU0534,RU,534.0,RU534,Land,32.46287554644387,69.76460852326105
0.000942,0.165675,6,5,RU,RU1574,RU4815,RU,4815.0,RU4815,Land,59.44281519861689,69.86562389547622
0.001256,0.200547,7,6,RU,RU0786,RU4856,RU,4856.0,RU4856,Land,61.22428274223348,69.8491041973496
0.025465,0.799634,8,7,RU,,RU4798,RU,4798.0,RU4798,Land,61.07158719576802,69.7871485689286
0.036006,1.104511,9,8,RU,RU4813,RU4813,RU,4813.0,RU4813,Land,60.86263944358995,69.7604624721237
0.000509,0.098208,10,9,RU,,RU0514,RU,514.0,RU514,Land,31.576098251528045,69.8387694002935
0.000439,0.120366,11,10,RU,RU5243,RU4815,RU,4815.0,RU4815,Land,59.485149059284716,69.83981403498449
0.002664,0.323346,12,11,RU,,RU0514,RU,514.0,RU514,Land,31.746824061599884,69.79580594847994
0.000172,0.1008,13,12,RU,RU4978,RU4815,RU,4815.0,RU4815,Land,59.42055992399776,69.82614052412931
0.013295,0.641809,14,13,RU,RU4856,RU4856,RU,4856.0,RU4856,Land,61.34462278023947,69.77391981863319
0.007971,0.369251,15,14,RU,RU0521,RU0521,RU,521.0,RU521,Land,31.79776961538193,69.77765059175344
0.002698,0.340021,16,15,RU,RU1095,RU1095,RU,1095.0,RU1095,Land,32.410124723501625,69.80398748441854
0.019459,0.951473,17,16,RU,RU0524,RU0524,RU,524.0,RU524,Land,31.834008469150106,69.71659437745947
0.023618,1.243521,18,17,RU,RU1305,RU1305,RU,1305.0,RU1305,Land,32.29440000427013,69.7146346999526
0.009848,0.503293,19,18,RU,RU0547,RU0547,RU,547.0,RU547,Land,32.41419028606809,69.76000264079636
0.02221,0.727961,20,19,RU,RU0535,RU0535,RU,535.0,RU535,Land,31.98486171857654,69.69349991075987
0.042656,1.47464,21,20,RU,RU0479,RU0479,RU,479.0,RU479,Land,31.134212970715748,69.71346588886439
0.041351,1.947202,22,21,RU,RU0543,RU0543,RU,543.0,RU543,Land,32.87748942369396,69.67651017824211
0.014063,0.76029,23,22,RU,RU4848,RU4848,RU,4848.0,RU4848,Land,61.242030106834775,69.72438493318575
0.013728,1.0017,24,23,RU,,RU4798,RU,4798.0,RU4798,Land,61.511893251032916,69.7363874904325
0.102524,3.013826,25,24,RU,RU4862,RU4862,RU,4862.0,RU4862,Land,61.421931007573065,69.62996633620882
0.060456,1.609831,26,25,RU,,RU4803,RU,4803.0,RU4803,Land,62.147307667657685,69.65698622077083
0.030778,1.40656,27,26,RU,RU4840,RU4840,RU,4840.0,RU4840,Land,60.931771948274005,69.65397648132812
0.015713,0.625776,28,27,RU,RU0582,RU0582,RU,582.0,RU582,Land,32.84519293861911,69.67889933055127
0.003112,0.405954,29,28,RU,,RU4926,RU,4926.0,RU4926,Land,62.52912054989888,69.71701645959979
0.015776,0.497559,30,29,RU,RU4908,RU4908,RU,4908.0,RU4908,Land,61.875543498124635,69.66790692121758
0.032288,1.398854,31,30,RU,RU6546,RU6546,RU,6546.0,RU6546,Land,62.5161452630315,69.67050427552746
0.007593,0.460425,32,31,RU,RU4947,RU4947,RU,4947.0,RU4947,Land,62.77364652762518,69.692383812714
0.029831,1.73607,33,32,RU,,RU4803,RU,4803.0,RU4803,Land,63.16406737472885,69.65006419166392
0.05076,1.269672,34,33,RU,RU0485,RU0485,RU,485.0,RU485,Land,30.976018994033893,69.56548888700306
0.091928,2.350811,35,34,RU,RU4897,RU4897,RU,4897.0,RU4897,Land,61.63364178711464,69.51222306456368
0.043874,1.702641,36,35,RU,RU0509,RU0509,RU,509.0,RU509,Land,31.698882387749997,69.62042225397725
0.030085,1.761381,37,36,RU,RU0549,RU0549,RU,549.0,RU549,Land,32.56691383257028,69.61764729160979
0.223005,7.930863,38,37,RU,RU0466,RU0466,RU,466.0,RU466,Land,30.311196187294506,69.3445133347151
0.256678,6.408634,39,38,RU,RU4943,RU4943,RU,4943.0,RU4943,Land,62.92292331082669,69.52890810754236
