AREA,PERIMETER,SONWESTS_,SONWESTS_I,ISO_,DEGRAD_ID_,SOVID_NEW,ISOC,SUID,NEWSUID,ISOC,SUID,TCID,SCID,PROP,CLAF,PRID,DRAIN,LAYER,TOPDEP,BOTDEP,CFRAG,SDTO,STPC,CLPC,PSCL,BULK,TAWC,CECS,BSAT,CECC,PHAQ,TCEQ,GYPS,ELCO,TOTC,TOTN,ECEC,ALSA,ESP,longitude,latitude
0.000177,0.077124,2,1,EE,,EE0002,EE,2.0,EE2,EE,2.0,1.0,1.0,40.0,PZc,EE0076R1783,P,D1,0.0,20.0,0.0,86.0,10.0,4.0,C,0.25,14.0,24.55,40.0,-1.0,4.2,0.0,0.0,0.0,327.5,18.0,-1.0,35.0,0.0,25.803917701909675,59.68076027115145
0.235843,5.116521,3,2,EE,2-EE,EE0002,EE,2.0,EE2,EE,2.0,1.0,1.0,40.0,PZc,EE0076R1783,P,D1,0.0,20.0,0.0,86.0,10.0,4.0,C,0.25,14.0,24.55,40.0,-1.0,4.2,0.0,0.0,0.0,327.5,18.0,-1.0,35.0,0.0,25.650904754267025,59.45019835978374
0.001148,0.218011,4,3,EE,,EE0002,EE,2.0,EE2,EE,2.0,1.0,1.0,40.0,PZc,EE0076R1783,P,D1,0.0,20.0,0.0,86.0,10.0,4.0,C,0.25,14.0,24.55,40.0,-1.0,4.2,0.0,0.0,0.0,327.5,18.0,-1.0,35.0,0.0,25.013159295809505,59.62760345847571
0.000126,0.056738,5,4,EE,,EE0002,EE,2.0,EE2,EE,2.0,1.0,1.0,40.0,PZc,EE0076R1783,P,D1,0.0,20.0,0.0,86.0,10.0,4.0,C,0.25,14.0,24.55,40.0,-1.0,4.2,0.0,0.0,0.0,327.5,18.0,-1.0,35.0,0.0,25.09591617693213,59.60073185482327
0.003179,0.242122,6,5,EE,,EE0010,EE,10.0,EE10,EE,10.0,1.0,1.0,40.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,24.523379293845487,59.56830075547599
0.000527,0.118493,7,6,EE,,EE0002,EE,2.0,EE2,EE,2.0,1.0,1.0,40.0,PZc,EE0076R1783,P,D1,0.0,20.0,0.0,86.0,10.0,4.0,C,0.25,14.0,24.55,40.0,-1.0,4.2,0.0,0.0,0.0,327.5,18.0,-1.0,35.0,0.0,24.765048106967466,59.58340711038212
0.000275,0.093977,8,7,EE,,EE0002,EE,2.0,EE2,EE,2.0,1.0,1.0,40.0,PZc,EE0076R1783,P,D1,0.0,20.0,0.0,86.0,10.0,4.0,C,0.25,14.0,24.55,40.0,-1.0,4.2,0.0,0.0,0.0,327.5,18.0,-1.0,35.0,0.0,25.225666210013102,59.57387985543732
0.394841,12.7784,9,8,EE,4-EE,EE0004,EE,4.0,EE4,EE,4.0,1.0,1.0,55.0,GLk,EE0032R1611,I,D1,0.0,20.0,10.0,69.0,24.0,7.0,M,1.06,46.0,31.15,91.0,131.5,7.0,5.0,0.0,0.9,32.5,3.5,-1.0,0.0,1.0,26.897935350054674,59.24801972643668
0.000154,0.05741,10,9,EE,,EE0002,EE,2.0,EE2,EE,2.0,1.0,1.0,40.0,PZc,EE0076R1783,P,D1,0.0,20.0,0.0,86.0,10.0,4.0,C,0.25,14.0,24.55,40.0,-1.0,4.2,0.0,0.0,0.0,327.5,18.0,-1.0,35.0,0.0,25.37888419743076,59.515766598049346
0.019404,1.155342,11,10,EE,5-EE,EE0005,EE,5.0,EE5,EE,5.0,1.0,1.0,40.0,RGc,EE0012R1832,W,D1,0.0,20.0,12.0,63.0,24.0,13.0,M,1.15,44.0,17.02,100.0,78.9,7.51,20.0,1.0,0.12,19.7,1.5,-1.0,0.0,2.0,26.793152916318196,59.43588587940821
0.026232,1.372066,12,11,EE,8-EE,EEns6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.792659108517483,59.433322412408984
0.215198,4.049438,13,12,EE,9-EE,EE0009,EE,9.0,EE9,EE,9.0,1.0,1.0,45.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,24.910682891695036,59.25532001600035
0.11377,2.111447,14,13,EE,10-EE,EE0010,EE,10.0,EE10,EE,10.0,1.0,1.0,40.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,24.39846605132233,59.323264511201074
0.002336,0.461772,15,14,EE,6-EE,EEns1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.143609936237343,59.41826183437457
0.00616,0.491615,16,15,EE,7-EE,EE0007,EE,7.0,EE7,EE,7.0,1.0,1.0,75.0,PZh,EE0002R1881,S,D1,0.0,20.0,4.0,88.0,8.0,4.0,C,1.48,36.0,4.07,12.0,58.0,4.6,0.0,0.0,0.0,7.75,0.43,-1.0,42.0,0.0,28.080993808893123,59.42296508711083
0.358539,6.415139,17,16,EE,12-EE,EE0012,EE,12.0,EE12,EE,12.0,1.0,1.0,70.0,CMc,EE0012R1796,W,D1,0.0,20.0,10.0,57.0,30.0,13.0,M,1.5,33.0,13.5,89.0,55.0,6.8,3.0,0.0,0.3,18.0,1.7,-1.0,0.0,1.0,26.096731006134107,59.12786380517502
0.023883,2.046286,18,17,EE,11-EE,EE0011,EE,11.0,EE11,EE,11.0,1.0,1.0,40.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,27.65614439839412,59.41036112271559
0.058221,1.18922,19,18,EE,13-EE,EE0013,EE,13.0,EE13,EE,13.0,1.0,1.0,55.0,GLe,EE0013R0002,P,D1,0.0,20.0,0.0,86.0,12.0,2.0,C,1.16,45.0,9.7,80.0,-1.0,6.8,3.0,0.0,0.1,40.0,4.0,-1.0,0.0,1.0,26.719897596447453,59.29829618330957
0.019056,1.122797,20,19,EE,14-EE,EE0014,EE,14.0,EE14,EE,14.0,1.0,1.0,55.0,CMc,EE0004R1994,W,D1,0.0,20.0,10.0,58.0,34.0,8.0,M,1.46,34.0,19.45,98.0,132.5,7.12,4.5,0.75,0.3,22.0,2.0,-1.0,0.0,1.0,27.31756224945511,59.3086805083804
0.022515,0.8,21,20,EE,17-EE,EE0017,EE,17.0,EE17,EE,17.0,1.0,1.0,100.0,HSs,EE0017RR017,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.36,35.0,88.0,76.0,-1.0,5.6,0.0,0.0,0.0,399.57001,27.83,-1.0,-1.0,1.0,25.893307781018287,59.31904813822983
0.003093,0.31559,22,21,EE,16-EE,EEns6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.237817753418955,59.37644562677866
0.004176,0.331446,23,22,EE,15-EE,EEns6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.14385044646623,59.35807347482769
0.068754,2.301991,24,23,EE,18-EE,EE0018,EE,18.0,EE18,EE,18.0,1.0,1.0,100.0,HSf,EE0018RR018,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.1,35.0,86.0,40.0,-1.0,4.28,0.0,0.0,0.0,330.12,15.21,-1.0,-1.0,2.0,27.603241151400137,59.19261970470682
0.002115,0.203934,25,24,EE,22-EE,EE0022,EE,22.0,EE22,EE,22.0,1.0,1.0,40.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,23.980724837376133,59.34114479984332
0.036262,1.273693,26,25,EE,21-EE,EE0021,EE,21.0,EE21,EE,21.0,1.0,1.0,70.0,RGc,EE0012R1832,W,D1,0.0,20.0,12.0,63.0,24.0,13.0,M,1.15,44.0,17.02,100.0,78.9,7.51,20.0,1.0,0.12,19.7,1.5,-1.0,0.0,2.0,26.25669634270123,59.27499829386281
0.001956,0.238956,27,26,EE,24-EE,EE0024,EE,24.0,EE24,EE,24.0,1.0,1.0,60.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,23.91463647731862,59.329730300372034
0.004612,0.738685,28,27,EE,19-EE,EEns6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.10884180871092,59.313174323861375
0.015619,0.710377,29,28,EE,23-EE,EEns7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.73320948175991,59.273795702839664
0.000752,0.153992,30,29,EE,,EE0026,EE,26.0,EE26,EE,26.0,1.0,1.0,56.0,GLe,EE0026R0102,P,D1,0.0,20.0,0.0,85.0,8.0,7.0,C,1.17,46.0,9.7,79.0,-1.0,5.6,0.0,0.0,0.0,28.0,1.8,-1.0,0.0,1.0,23.39114716560571,59.294083154932096
0.204683,5.886525,31,30,EE,26-EE,EE0026,EE,26.0,EE26,EE,26.0,1.0,1.0,56.0,GLe,EE0026R0102,P,D1,0.0,20.0,0.0,85.0,8.0,7.0,C,1.17,46.0,9.7,79.0,-1.0,5.6,0.0,0.0,0.0,28.0,1.8,-1.0,0.0,1.0,24.06094627783024,59.05811520106213
0.004809,1.018433,32,31,EE,25-EE,EEns1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.818702188772093,59.12801723768913
0.030088,1.075032,33,32,EE,27-EE,EE0027,EE,27.0,EE27,EE,27.0,1.0,1.0,100.0,HSs,EE0027RR027,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.36,35.0,88.0,76.0,-1.0,5.6,0.0,0.0,0.0,399.57001,27.83,-1.0,-1.0,1.0,26.667860570445082,59.14473917548856
0.025913,1.380587,34,33,EE,30-EE,EE0030,EE,30.0,EE30,EE,30.0,1.0,1.0,100.0,HSf,EE0030RR030,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.1,35.0,86.0,40.0,-1.0,4.28,0.0,0.0,0.0,330.12,15.21,-1.0,-1.0,2.0,27.119718933701844,59.16078783150296
0.108023,3.786503,35,34,EE,29-EE,EE0029,EE,29.0,EE29,EE,29.0,1.0,1.0,40.0,PZc,EE0104R1998,I,D1,0.0,20.0,1.0,80.0,16.0,4.0,C,0.97,29.0,5.7,9.0,35.0,3.75,0.0,0.0,0.0,141.2,6.38,-1.0,63.0,0.0,27.29265958994977,59.04052440738612
