AREA,PERIMETER,SONWESTS_,SONWESTS_I,ISO_,SOVID_NEW,ISOC,SUID,NEWSUID,ISOC,SUID,SOILMAPUNI,SOIL1,PROP1,PRID1,SOIL2,PROP2,PRID2,SOIL3,PROP3,PRID3,SOIL4,PROP4,PRID4,SOIL5,PROP5,PRID5,SOIL6,PROP6,PRID6,SOIL7,PROP7,PRID7,SOIL8,PROP8,PRID8,SOIL9,PROP9,PRID9,SOIL10,PROP10,PRID10,longitude,latitude
0.000177,0.077124,2,1,EE,EE0002,EE,2.0,EE2,EE,2.0,PZc3PZh5HSf4HSf5GLe5 [EE2],PZc,40.0,EE0076R1783,PZh,15.0,EE0002R1881,HSf,20.0,EE0002RR002,HSf,10.0,EE0002RR002,GLe,15.0,EE0076R1621,,,,,,,,,,,,,,,,25.803917701909675,59.68076027115145
0.235843,5.116521,3,2,EE,EE0002,EE,2.0,EE2,EE,2.0,PZc3PZh5HSf4HSf5GLe5 [EE2],PZc,40.0,EE0076R1783,PZh,15.0,EE0002R1881,HSf,20.0,EE0002RR002,HSf,10.0,EE0002RR002,GLe,15.0,EE0076R1621,,,,,,,,,,,,,,,,25.650904754267025,59.45019835978374
0.001148,0.218011,4,3,EE,EE0002,EE,2.0,EE2,EE,2.0,PZc3PZh5HSf4HSf5GLe5 [EE2],PZc,40.0,EE0076R1783,PZh,15.0,EE0002R1881,HSf,20.0,EE0002RR002,HSf,10.0,EE0002RR002,GLe,15.0,EE0076R1621,,,,,,,,,,,,,,,,25.013159295809505,59.62760345847571
0.000126,0.056738,5,4,EE,EE0002,EE,2.0,EE2,EE,2.0,PZc3PZh5HSf4HSf5GLe5 [EE2],PZc,40.0,EE0076R1783,PZh,15.0,EE0002R1881,HSf,20.0,EE0002RR002,HSf,10.0,EE0002RR002,GLe,15.0,EE0076R1621,,,,,,,,,,,,,,,,25.09591617693213,59.60073185482327
0.003179,0.242122,6,5,EE,EE0010,EE,10.0,EE10,EE,10.0,RGc3GLk3LPk4 [EE10],RGc,40.0,EE0009R2048,GLk,40.0,EE0032R1611,LPk,20.0,EE0009R2020,,,,,,,,,,,,,,,,,,,,,,24.523379293845487,59.56830075547599
0.000527,0.118493,7,6,EE,EE0002,EE,2.0,EE2,EE,2.0,PZc3PZh5HSf4HSf5GLe5 [EE2],PZc,40.0,EE0076R1783,PZh,15.0,EE0002R1881,HSf,20.0,EE0002RR002,HSf,10.0,EE0002RR002,GLe,15.0,EE0076R1621,,,,,,,,,,,,,,,,24.765048106967466,59.58340711038212
0.000275,0.093977,8,7,EE,EE0002,EE,2.0,EE2,EE,2.0,PZc3PZh5HSf4HSf5GLe5 [EE2],PZc,40.0,EE0076R1783,PZh,15.0,EE0002R1881,HSf,20.0,EE0002RR002,HSf,10.0,EE0002RR002,GLe,15.0,EE0076R1621,,,,,,,,,,,,,,,,25.225666210013102,59.57387985543732
0.394841,12.7784,9,8,EE,EE0004,EE,4.0,EE4,EE,4.0,GLk3CMg5CMc5HSs5 [EE4],GLk,55.0,EE0032R1611,CMg,15.0,EE0009R1616,CMc,15.0,EE0004R1994,HSs,15.0,EE0004RR004,,,,,,,,,,,,,,,,,,,26.897935350054674,59.24801972643668
0.000154,0.05741,10,9,EE,EE0002,EE,2.0,EE2,EE,2.0,PZc3PZh5HSf4HSf5GLe5 [EE2],PZc,40.0,EE0076R1783,PZh,15.0,EE0002R1881,HSf,20.0,EE0002RR002,HSf,10.0,EE0002RR002,GLe,15.0,EE0076R1621,,,,,,,,,,,,,,,,25.37888419743076,59.515766598049346
0.019404,1.155342,11,10,EE,EE0005,EE,5.0,EE5,EE,5.0,RGc3GLk3LPk4 [EE5],RGc,40.0,EE0012R1832,GLk,40.0,EE0032R1611,LPk,20.0,EE0005R2041,,,,,,,,,,,,,,,,,,,,,,26.793152916318196,59.43588587940821
